opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,series,sales_price,manager,regional_office,sector,year_established,revenue,employees,office_location,subsidiary_of,ciclo_dias,converteu,categoria_ticket,ano,mes,trimestre,mes_ano
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,635.0,GTX,550.0,Celia Rouche,West,services,2003.0,692.19,1922.0,United States,,111.0,1,Baixo,2016.0,11.0,4.0,2016-11
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0,MG,3393.0,Cara Losch,East,medical,1996.0,439.21,792.0,United States,,115.0,1,Alto,2016.0,11.0,4.0,2016-11
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233.0,GTX,1096.0,Cara Losch,East,marketing,1984.0,3027.46,9516.0,Jordan,,121.0,1,Médio,2016.0,11.0,4.0,2016-11
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,60.0,MG,55.0,Dustin Brinkmann,Central,medical,1984.0,441.08,1210.0,United States,,116.0,1,Baixo,2016.0,11.0,4.0,2016-11
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,0.0,MG,55.0,Dustin Brinkmann,Central,telecommunications,2007.0,86.68,187.0,United States,Sonron,136.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,0.0,GTX,550.0,Melvin Marxen,Central,finance,1987.0,1698.2,3798.0,United States,,114.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,GTX,1096.0,Melvin Marxen,Central,marketing,1985.0,375.43,1190.0,United States,,126.0,1,Médio,2016.0,11.0,4.0,2016-11
EG7OFLFR,Kami Bicknell,GTX Basic,Não Identificado,Engaging,2016-11-14,,,GTX,550.0,Summer Sewald,West,,,,,,,,0,Sem Valor,2016.0,11.0,4.0,2016-11
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0,GTX,1096.0,Melvin Marxen,Central,retail,2007.0,894.33,1635.0,Italy,,125.0,1,Médio,2016.0,11.0,4.0,2016-11
OLVI7L8M,Cassey Cress,GTXPro,Não Identificado,Engaging,2016-11-16,,,,,Rocco Neubert,East,,,,,,,,0,Sem Valor,2016.0,11.0,4.0,2016-11
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,3725.0,MG,3393.0,Melvin Marxen,Central,technolgy,2005.0,1520.66,1806.0,United States,,118.0,1,Alto,2016.0,11.0,4.0,2016-11
JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,559.0,GTX,550.0,Summer Sewald,West,finance,2008.0,52.5,165.0,United States,,135.0,1,Baixo,2016.0,11.0,4.0,2016-11
6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,0.0,GTX,550.0,Celia Rouche,West,retail,2001.0,2437.85,4874.0,United States,,115.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,0.0,GTX,1096.0,Melvin Marxen,Central,technolgy,1983.0,1008.06,1238.0,United States,,124.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667.0,GTX,5482.0,Summer Sewald,West,telecommunications,1999.0,1699.85,5108.0,United States,,108.0,1,Alto,2016.0,11.0,4.0,2016-11
IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,903.0,GTX,1096.0,Melvin Marxen,Central,finance,2006.0,1102.43,1759.0,United States,,120.0,1,Baixo,2016.0,11.0,4.0,2016-11
XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,1180.0,GTX,1096.0,Summer Sewald,West,employment,1988.0,2059.9,3644.0,United States,,116.0,1,Médio,2016.0,11.0,4.0,2016-11
XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,487.0,GTX,550.0,Melvin Marxen,Central,medical,1992.0,3922.42,6837.0,United States,,108.0,1,Baixo,2016.0,11.0,4.0,2016-11
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,3180.0,MG,3393.0,Dustin Brinkmann,Central,finance,1987.0,1698.2,3798.0,United States,,106.0,1,Alto,2016.0,11.0,4.0,2016-11
ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,2016-11-19,2017-03-17,0.0,,,Melvin Marxen,Central,finance,1991.0,2819.5,7227.0,United States,Golddex,118.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,3563.0,MG,3393.0,Melvin Marxen,Central,telecommunications,2007.0,86.68,187.0,United States,Sonron,119.0,1,Alto,2016.0,11.0,4.0,2016-11
F5U1ACDD,Kami Bicknell,GTX Plus Basic,Não Identificado,Engaging,2016-11-19,,,GTX,1096.0,Summer Sewald,West,,,,,,,,0,Sem Valor,2016.0,11.0,4.0,2016-11
LPKT07PV,Boris Faz,GTXPro,Opentech,Won,2016-11-20,2017-03-23,4704.0,,,Rocco Neubert,East,finance,1994.0,355.23,853.0,United States,,123.0,1,Alto,2016.0,11.0,4.0,2016-11
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,5585.0,GTX,5482.0,Rocco Neubert,East,medical,1994.0,2818.38,6290.0,United States,,114.0,1,Alto,2016.0,11.0,4.0,2016-11
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,25897.0,GTK,26768.0,Celia Rouche,West,entertainment,1992.0,324.19,978.0,United States,,109.0,1,Premium,2016.0,11.0,4.0,2016-11
ZZY4516R,Hayden Neloms,MG Advanced,Não Identificado,Engaging,2016-11-20,,,MG,3393.0,Celia Rouche,West,,,,,,,,0,Sem Valor,2016.0,11.0,4.0,2016-11
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207.0,GTX,1096.0,Summer Sewald,West,marketing,2000.0,2952.73,5107.0,United States,,103.0,1,Médio,2016.0,11.0,4.0,2016-11
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,2016-11-20,2017-03-08,0.0,MG,3393.0,Dustin Brinkmann,Central,retail,2001.0,718.62,2448.0,United States,,108.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,559.0,GTX,550.0,Dustin Brinkmann,Central,technolgy,1987.0,2938.67,8775.0,Panama,,104.0,1,Baixo,2016.0,11.0,4.0,2016-11
0DRC1U9Q,Maureen Marcano,GTX Basic,Green-Plus,Engaging,2016-11-20,,,GTX,550.0,Summer Sewald,West,services,2003.0,692.19,1922.0,United States,,,0,Sem Valor,2016.0,11.0,4.0,2016-11
37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,2016-11-20,2017-03-09,1033.0,GTX,1096.0,Melvin Marxen,Central,marketing,1995.0,2173.98,2928.0,United States,Inity,109.0,1,Médio,2016.0,11.0,4.0,2016-11
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,462.0,GTX,550.0,Rocco Neubert,East,software,1982.0,11698.03,34288.0,United States,,120.0,1,Baixo,2016.0,11.0,4.0,2016-11
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,2016-11-21,2017-03-01,0.0,MG,3393.0,Celia Rouche,West,services,1987.0,405.59,1179.0,Brazil,Warephase,100.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,2016-11-21,2017-03-14,5539.0,,,Summer Sewald,West,employment,1983.0,2871.35,9561.0,United States,,113.0,1,Alto,2016.0,11.0,4.0,2016-11
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,3573.0,MG,3393.0,Dustin Brinkmann,Central,medical,1992.0,3922.42,6837.0,United States,,114.0,1,Alto,2016.0,11.0,4.0,2016-11
DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,2016-11-21,2017-03-01,4926.0,,,Melvin Marxen,Central,technolgy,2005.0,1520.66,1806.0,United States,,100.0,1,Alto,2016.0,11.0,4.0,2016-11
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,0.0,GTX,1096.0,Summer Sewald,West,marketing,2008.0,894.37,1593.0,Poland,,116.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,2016-11-22,2017-03-04,62.0,MG,55.0,Cara Losch,East,medical,1991.0,326.82,1016.0,United States,,102.0,1,Baixo,2016.0,11.0,4.0,2016-11
C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,2016-11-22,2017-03-14,4359.0,,,Melvin Marxen,Central,telecommunications,2007.0,86.68,187.0,United States,Sonron,112.0,1,Alto,2016.0,11.0,4.0,2016-11
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,566.0,GTX,550.0,Summer Sewald,West,entertainment,2002.0,349.81,315.0,United States,,129.0,1,Baixo,2016.0,11.0,4.0,2016-11
ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,2016-11-22,2017-03-03,508.0,GTX,550.0,Melvin Marxen,Central,retail,1995.0,332.43,799.0,United States,,101.0,1,Baixo,2016.0,11.0,4.0,2016-11
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0.0,MG,3393.0,Cara Losch,East,finance,1993.0,646.1,883.0,United States,Golddex,118.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,2016-11-22,2017-03-11,51.0,MG,55.0,Dustin Brinkmann,Central,software,1998.0,2714.9,2641.0,United States,Acme Corporation,109.0,1,Baixo,2016.0,11.0,4.0,2016-11
B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,2016-11-22,2017-03-05,4899.0,,,Celia Rouche,West,software,2013.0,98.79,96.0,United States,Bubba Gump,103.0,1,Alto,2016.0,11.0,4.0,2016-11
M7I5O9YU,Corliss Cosme,GTX Basic,Cheers,Engaging,2016-11-23,,,GTX,550.0,Cara Losch,East,entertainment,1993.0,4269.9,6472.0,United States,Massive Dynamic,,0,Sem Valor,2016.0,11.0,4.0,2016-11
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,5790.0,GTX,5482.0,Cara Losch,East,employment,1997.0,882.12,2769.0,United States,,100.0,1,Alto,2016.0,11.0,4.0,2016-11
N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,2016-11-23,2017-03-30,0.0,MG,55.0,Rocco Neubert,East,retail,2004.0,702.72,1831.0,United States,,127.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
GYB4W2AU,Elease Gluck,MG Advanced,Não Identificado,Engaging,2016-11-23,,,MG,3393.0,Celia Rouche,West,,,,,,,,0,Sem Valor,2016.0,11.0,4.0,2016-11
513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,2016-11-23,2017-03-03,4438.0,,,Melvin Marxen,Central,software,1998.0,2714.9,2641.0,United States,Acme Corporation,100.0,1,Alto,2016.0,11.0,4.0,2016-11
RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,2016-11-23,2017-03-17,2972.0,MG,3393.0,Melvin Marxen,Central,finance,2006.0,1102.43,1759.0,United States,,114.0,1,Médio,2016.0,11.0,4.0,2016-11
VDIU10RV,Markita Hansen,MG Special,Lexiqvolax,Engaging,2016-11-23,,,MG,55.0,Celia Rouche,West,medical,2004.0,1618.89,3889.0,United States,,,0,Sem Valor,2016.0,11.0,4.0,2016-11
BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,2016-11-23,2017-03-01,523.0,GTX,550.0,Celia Rouche,West,employment,1983.0,2871.35,9561.0,United States,,98.0,1,Baixo,2016.0,11.0,4.0,2016-11
HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,2016-11-24,2017-03-25,3647.0,MG,3393.0,Dustin Brinkmann,Central,employment,1997.0,291.27,586.0,United States,,121.0,1,Alto,2016.0,11.0,4.0,2016-11
L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200.0,MG,3393.0,Rocco Neubert,East,finance,1998.0,2022.14,5113.0,United States,,97.0,1,Alto,2016.0,11.0,4.0,2016-11
579LZ3F9,Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,2016-11-24,,,GTX,1096.0,Rocco Neubert,East,retail,1989.0,1388.67,3583.0,United States,,,0,Sem Valor,2016.0,11.0,4.0,2016-11
SU8JNMP4,Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,2016-11-24,,,GTX,1096.0,Summer Sewald,West,software,2002.0,987.39,2253.0,United States,,,0,Sem Valor,2016.0,11.0,4.0,2016-11
V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,1059.0,GTX,1096.0,Summer Sewald,West,telecommunications,1995.0,1825.82,5595.0,United States,Sonron,124.0,1,Médio,2016.0,11.0,4.0,2016-11
AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,2016-11-24,2017-03-05,0.0,GTX,1096.0,Melvin Marxen,Central,software,1998.0,2714.9,2641.0,United States,Acme Corporation,101.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,2016-11-24,2017-03-02,57.0,MG,55.0,Dustin Brinkmann,Central,software,1982.0,4618.0,10083.0,United States,,98.0,1,Baixo,2016.0,11.0,4.0,2016-11
FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,2016-11-24,2017-03-27,3671.0,MG,3393.0,Celia Rouche,West,technolgy,1980.0,7708.38,13756.0,United States,,123.0,1,Alto,2016.0,11.0,4.0,2016-11
TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,2016-11-25,2017-03-01,58.0,MG,55.0,Dustin Brinkmann,Central,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,96.0,1,Baixo,2016.0,11.0,4.0,2016-11
PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,2016-11-25,2017-03-06,3956.0,MG,3393.0,Dustin Brinkmann,Central,telecommunications,1988.0,5266.09,8595.0,United States,Sonron,101.0,1,Alto,2016.0,11.0,4.0,2016-11
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,2016-11-25,2017-03-01,5964.0,GTX,5482.0,Cara Losch,East,medical,1999.0,251.41,495.0,United States,,96.0,1,Alto,2016.0,11.0,4.0,2016-11
S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,2016-11-25,2017-03-06,4570.0,,,Cara Losch,East,medical,1999.0,251.41,495.0,United States,,101.0,1,Alto,2016.0,11.0,4.0,2016-11
JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,2016-11-25,2017-03-27,49.0,MG,55.0,Melvin Marxen,Central,entertainment,1998.0,217.87,551.0,United States,,122.0,1,Baixo,2016.0,11.0,4.0,2016-11
0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,2016-11-25,2017-03-06,65.0,MG,55.0,Cara Losch,East,technolgy,1992.0,1712.68,3194.0,United States,Acme Corporation,101.0,1,Baixo,2016.0,11.0,4.0,2016-11
K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,2016-11-26,2017-03-27,0.0,MG,55.0,Dustin Brinkmann,Central,entertainment,1998.0,217.87,551.0,United States,,121.0,0,Sem Valor,2016.0,11.0,4.0,2016-11
D40N5I9Y,Darcel Schlecht,GTXPro,Finhigh,Won,2016-11-26,2017-03-08,4739.0,,,Melvin Marxen,Central,finance,2006.0,1102.43,1759.0,United States,,102.0,1,Alto,2016.0,11.0,4.0,2016-11
051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,2016-11-26,2017-03-21,1080.0,GTX,1096.0,Melvin Marxen,Central,technolgy,2000.0,1223.72,2497.0,Norway,,115.0,1,Médio,2016.0,11.0,4.0,2016-11
5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,2016-11-26,2017-03-12,57.0,MG,55.0,Rocco Neubert,East,retail,2003.0,1419.98,4018.0,United States,,106.0,1,Baixo,2016.0,11.0,4.0,2016-11
V9E582SK,Garret Kinder,GTX Basic,Konex,Won,2016-11-27,2017-03-16,469.0,GTX,550.0,Cara Losch,East,technolgy,1980.0,7708.38,13756.0,United States,,109.0,1,Baixo,2016.0,11.0,4.0,2016-11
UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,2016-11-27,2017-03-03,532.0,GTX,550.0,Summer Sewald,West,medical,2017.0,4.54,9.0,United States,,96.0,1,Baixo,2016.0,11.0,4.0,2016-11
PFFHM7HR,Markita Hansen,MG Advanced,Opentech,Engaging,2016-11-27,,,MG,3393.0,Celia Rouche,West,finance,1994.0,355.23,853.0,United States,,,0,Sem Valor,2016.0,11.0,4.0,2016-11
IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,2016-11-27,2017-03-26,538.0,GTX,550.0,Celia Rouche,West,technolgy,1980.0,7708.38,13756.0,United States,,119.0,1,Baixo,2016.0,11.0,4.0,2016-11
8VKD2CCH,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,2016-11-27,2017-03-21,4829.0,,,Cara Losch,East,entertainment,1989.0,665.06,1095.0,United States,,114.0,1,Alto,2016.0,11.0,4.0,2016-11
2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,2016-11-27,2017-03-11,5370.0,GTX,5482.0,Summer Sewald,West,technolgy,2010.0,587.72,1501.0,United States,,104.0,1,Alto,2016.0,11.0,4.0,2016-11
7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,2016-11-27,2017-03-21,6499.0,GTX,5482.0,Summer Sewald,West,services,1982.0,792.46,1299.0,United States,,114.0,1,Alto,2016.0,11.0,4.0,2016-11
GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161.0,GTX,1096.0,Melvin Marxen,Central,retail,2007.0,894.33,1635.0,Italy,,98.0,1,Médio,2016.0,11.0,4.0,2016-11
